model,roc_auc,accuracy,precision,recall,f1,brier_score,top_decile_lift,mean_predicted_probability,threshold,share_raw_outside_0_1,raw_prediction_min,raw_prediction_max,true_positive,false_positive,true_negative,false_negative
Simple linear baseline,0.5915201257362787,0.5386400873839432,0.08344067554028911,0.6221985058697972,0.14714790509843514,0.059499418532597714,1.2712881007947991,0.0641764439941668,0.06396777717094485,0.0,0.03568725123449898,0.09966158760426606,583,6404,7307,354
Multiple linear probability,0.6020836669012961,0.5233478973238668,0.08212360016590627,0.6339381003201707,0.14541003671970623,0.05946144236547032,1.5366098324111879,0.06400399147477341,0.06396777717094485,0.0023211359912616056,-0.07992170857418186,0.13453874791750398,594,6639,7072,343
Logistic regression,0.6025289776991996,0.5714773347897324,0.0856610800744879,0.5891141942369263,0.14957322855981575,0.05947912132506099,1.5472807340251546,0.06404878586099177,0.06396777717094485,0.0,0.004575212727569439,0.15574638395016668,552,5892,7819,385
