"model","roc_auc","accuracy","precision","recall","f1","brier_score","top_decile_lift","mean_predicted_probability","threshold","share_raw_outside_0_1","raw_prediction_min","raw_prediction_max","true_positive","false_positive","true_negative","false_negative"
"Simple linear baseline",0.592060749079547,0.544852539595849,0.0821178529754959,0.6008537886873,0.144488643654562,0.0595001865970885,1.4164704420841,0.0638685436070529,0.0639677771709448,0,0.0355783915988198,0.0973042030360587,563,6293,7418,374
"Multiple linear probability",0.60553515639625,0.520753686510104,0.0822689191045186,0.639274279615795,0.145777561450475,0.0594033892726916,1.63264794693689,0.0638920666508229,0.0639677771709448,0.00218459858001092,-0.0813931932319327,0.17852104646838,599,6682,7029,338
"Logistic regression",0.605800661575703,0.568610049153468,0.0848503548287566,0.586979722518677,0.148267960641596,0.0594044060940878,1.67533155339275,0.0637881291573311,0.0639677771709448,0,0.00431457374914959,0.243340197129139,550,5932,7779,387
